Amount,Payer,Payer country,Beneficiary,Beneficiary country,Date,Purpose,,,
20559970,SECURO LTD.,UNKNOWN,HILUX SERVICES LP,GB,28/11/2013,"1311275108326781 SUPPLY CONTRACT AZ/256/2013 INVOICE N.1 /FEE/USD30,",,,
12223552,SECURO LIMITED,GB,HILUX SERVICES LP,GB,15/12/2014,1412125105574718 /INV/001/934 DATE 10.12.2014,,,
10259357,HILUX SERVICES LP,GB,FABERLEX LP,GB,04/07/2014,PAYMENT TO THE CONTRACT N 5 DD.02.12.2013,,,
10259357,ARASH MEDICAL PRODUCTION LTD,AZ,HILUX SERVICES LP,GB,04/07/2014,1407035107325514 PAYMENT FOR EQUIPMENT CONTRACT 001/ 14,,,
8565907,MODIAR,AZ,HILUX SERVICES LP,GB,09/01/2014,"1401085101288436 INV HS-04/02-36 26 12 13 FULL PAYM FOR DELIVERING OF MACHINES AND EQUI PMENT CONTR 04/02-36 DD 16 12 2013 /FEE/USD53,5",,,
8154113,ARASH MEDICAL PRODUCTION LTD,AZ,HILUX SERVICES LP,GB,05/12/2013,1312045105228931 FOR MEDICAL EQUIPMENT AGREEMENT DD 30.1 1.2013,,,
8000000,HILUX SERVICES LP,GB,KG COMMERCE LLP,GB,09/01/2014,1401095076846464 PAYMENT TO THE CONTRACT N 333 DD.01.06. 2013,,,
7915400,JETFIELD NETWORKS LIMITED,NZ,METASTAR INVEST LLP,GB,09/08/2012,1208095025633675 INV.333 DD 30.06.2012,,,
7000800,JETFIELD NETWORKS LIMITED,NZ,METASTAR INVEST LLP,GB,27/07/2012,1207275026111230 INV.333 DD 30.06.2012,,,
6795094,HILUX SERVICES LP,GB,KG COMMERCE LLP,GB,05/12/2013,PAYMENT TO THE CONTRACT N 333 DD.01.06.2013,,,
6499976,JETFIELD NETWORKS LIMITED,NZ,METASTAR INVEST LLP,GB,17/04/2013,1304175070769601 INV.0546/8762 DD 05.03.2013,,,
6083000,FABERLEX LP,GB,HILUX SERVICES LP,GB,27/12/2013,1312275074984495 PAYMENT TO THE CONTRACT N 439 DD.01.12. 2013,,,
